Section/Column,Name,Notes
,How to check if  they've claimed the comp ticket,"The quick way: Check ticket history

https://app.asana.com/app/asana/-/get_asset?asset_id=1209324037094259




The long way:

https://app.asana.com/app/asana/-/get_asset?asset_id=1209324037094253

https://app.asana.com/app/asana/-/get_asset?asset_id=1209324037094255

https://app.asana.com/app/asana/-/get_asset?asset_id=1209324037094257

""Remaining"" will be zero if comp has been claimed"
Staff Tickets,Comps ,"Complimentary tickets to MSO performances are available to Staff, Chorus Members and Musicians. Two complimentary tickets are available per date of performance.

Staff, chorus members and musicians can request comp tickets through the comp form availablehttps://forms.office.com/pages/responsepage.aspx?id=nlF79e3Lak6ya-0SPleG3l7BgOLArsJLm1LjbcWks3FUMFhHWFBHTlBaOUJDMkZZTFBKR04xVVhRMyQlQCN0PWcuhttps://forms.office.com/pages/responsepage.aspx?id=nlF79e3Lak6ya-0SPleG3l7BgOLArsJLm1LjbcWks3FUMlBNU01OWE1IRUhVMkdVTjFUWVRXVjNGVyQlQCN0PWcu&route=shorturl, or by emailing the comp email (comps@mso.com.au) which is handled by Marta. If staff, chorus members or musicians call or email through to request or discuss comps, please direct them to the form or email. We are unable to process comps for staff at the Box Office unless directly authorised. 

Deadlines:
    Tuesday - Friday concerts: 3pm the day before the concert date
    Saturday - Monday concerts: 3pm the Friday before the concert date

Allocation:
    Casual musicians may use the form to request complimentary tickets for concerts they’re performing in. Concert selections will be updated every Monday. 
    Chorus members can receive up to 10 complimentary tickets per year, max of 2 per concert. For any tickets after their allocation is exhausted, they can access the STAFF price type. 

E-tickets will be sent from 2 business days before the concert

#comp #staff "
Staff Tickets,Staff/Chorus Pricing,"Staff pricing is available for performances where comps are not available, or in addition to complimentary tickets. Staff, chorus members and musicians should have a 'Staff' attribute, which will allow the 'Staff' price to be visible when putting together an order. 

The staff pricing discount allows staff to pay one reserve down from the chosen reserve. So, for example, Staff can book in a Premium ticket at an A Reserve price, and so on. There is no discount for D Reserve as it's the lowest reserve. 

As with comps, casual musicians are only able to request staff pricing for performances they are performing in. They won't have a staff attribute, and Orchestra Management or Comps will usually endorse them.

#staff #chorus "
Staff Tickets,Staff Ticket Exchanges,"MSO Staff are entitled to fee-free exchanges. For any exchange where there is a price difference between the ticket values, the difference is payable at the time of the exchange.
    If the new concert/date you select is cheaper than your existing ticket value, the excess value will be absorbed as part of the transaction.
    If the new concert/date is more expensive than your existing ticket value, the additional balance must be paid to finalise the exchange

#staff #feefree #exchanges "
Ticket Change,Exchange Ticket Price Explainer,"When processing an exchange, the new tickets in the exchange order should have a price type that starts with 'Ex' (standing for exchange). That allows us to price match to the appropriate amount. After that, we can use the below guide to find out which price type to use:

Ex S Pkg 
Exchange Standard Package. This is used when the customer exchanging is a Subscriber and the original ticket was not a concession.

Ex S Sng
Exchange Standard Single. This is used when the customer exchanging is a not Subscriber and the original ticket was not a concession.

Ex C Pkg
Exchange Concession Package. This is used when the customer exchanging is a Subscriber and the original ticket was a concession. 

Ex C Sng
Exchange Concession Single. This is used when the customer exchanging is not a Subscriber and the original ticket was a concession. 

Note:
Exchanged tickets should match ticket to ticket. So, for example, if the original order was one standard ticket and one concession, and the customer was not a subscriber, the new tickets in the order would have the Ex S Sng and Ex C Sng price respectively. 

#exchange #subscriber #pricing"
Ticket Change,Change of Mind,"If customers contact us within a day of purchasing, requesting amendment/change/refund of order, we can action under change of mind.

E.g. Customer purchased at 8:57am on Monday, then emails us 12pm Tuesday requesting refund because they booked in error - we can action under ""change of mind"". 

Examples:
    I meant to book five seats together, but one is accidentally in the row behind - help!
    I booked and then told my partner who reminded me we have a wedding that day!
    I meant to book for the Sat 1pm, but booked for the Sat 7:30pm!

What we can offer:
    Fee Free Exchange 
        Please CSI Under Payment > Exchange Request for initial contact
    Full Refund of order
        Please CSI Under Payment > Refund Request 

If it is outside next day, you will need to check with TL/Supervisor before processing."
Ticket Change,Exchange FAQ's & Cheat Sheet,"For general exchange information, please see details https://app.asana.com/0/1206369590338123/1206500621771636/f
For Geelong exchange information, please see details https://app.asana.com/0/1206369590338123/1206884403286174/f

#exchange #cheatsheet #fees #policy #terms-and-conditions"
Ticket Change,General Venue Exchanges,"If a customer is unable to attend a performance with us, they are able to exchange their ticket for another MSO performance. 

The guidelines for exchanges are:
    The ticket to be exchanged must have originally been sold by the MSO Box Office (and not ACM, etc.) and be moving into a performance also ticketed by the MSO.
    MSO tickets must be exchanged to another performance within the same concert year.
    The MSO Box Office must be contacted at least three hours before the original performance time in order to process an exchange.
    A new order with MOS > Exchange must be used when exchanging a ticket.
    Once started, an Excanage must be finalsed within 3 business days (and if the Exchange is incomplete, all held tickets will be released)

Exchanges are fee-free for:
    Patrons
    MSO Guardians
    Subscribers
    FOTMSO Gold members
    Student members 
    Anyone with Staff price* tickets. 

For everyone else, there is $15 exchange fee per ticket. This should be automatically added to the order when in the Exchange Mode of Sale. 

Jams for Juniors and Classic Kids - single ticket purchases, only one $15 exchange fee is charged per booking. 

In addition to fee's, customers (including subscribers) must pay the difference in ticket cost when exchanging. This includes when a performance is more expensive, when moving to a more expensive day, when moving to a higher reserve, and when there has been a price increase for a performance. We can minimise this cost by moving to a lower reserve, if the customer would like.

UPDATE: If the new ticket is less expensive, this price difference will be absorbed during the exchange and no gift card will be issued
For Larger Price Difference: 
    If the difference is more than $25, once exchange fees have been absorbed if applicable, the BO team can check with TL/SUP about returning this amount to a gift card. 
    If the difference is greater than $75, the BO team can automatically return the amount to a gift card. 

https://app.asana.com/0/1206369590338123/1206884403286174/f https://app.asana.com/0/1206369590338123/1207252982399968/f have different exchange policies. Please see the relevant details in the above links or under Ticket Change.

*(Staff price tickets only apply for MSO staff, musicians, and chorus members for certain events.)  

#exchange #policy #fees #ticket-changes #change "
Ticket Change,Geelong Arts Centre Exchanges,"As of Mar 2024, for the first time, MSO have an allocation of tickets to sell to Geelong concerts. Exchanges can be facilitated from MSO performances to Geelong/Costa Hall performances. Currently, exchanges from Geelong to MSO will need to have their tickets refunded by GAC and repurchased with us. 

Up to one week before each performance:
    Subscriber exchanges can happen in our system (!!)
    Additional ticket purchases are available 
    Single ticket purchases are available
    Geelong can be included in CYO packages

To note:
    Customers will receive a ticket voucher from MSO (samples attached) 
        If a customer opts to receive e-tickets, Geelong will issue the actual ticket 72 hours prior to the performance
        If a customer opts to receive physical they will need to exchange the voucher at the GAC Costa Hall Box Office - encourage customers for digital or venue collect

From one week prior to the performance, all availability will be consigned back to GAC. Exchanges and purchases can still occur but needs to be coordinated with Marta. 

Other:
    Geelong tickets show the subscriber price type which enables free program redemption

"
Ticket Change,West Gippsland and Frankston Arts Centre Exchanges,"Unlike ACM, MRC, Costa Hall, and many other venues, we neither independently ticket nor have an allocation of tickets for West Gippsland and Frankston Arts Centre performances. 

Because of this, we are unable to exchange tickets between these performances and other MSO performances. 

#exchange #policy #fees #ticket-changes #change "
Ticket Change,Credit Requests / Medical Certificate,"If a customer is unable to attend a performance due to illness and needs more time to exchange then our deadline permits, they are able to receive the value of their tickets as a credit in the form of a gift card. 

Only the value of the tickets can be used towards a credit request. Any fees (transaction/postage fees) or donations processed at initial purchase are not returned for the purposes of credit.

Credit requests have the same rules as an exchange, except:
    Credit requests require a medical certificate to be provided within three business days of the request before it can be finalised. 
    Instead of applying the funds to another performance, the funds are added to a gift card so a new performance can be chosen when the customer is well.

Credit requests have the same guidelines as exchanges:
    The ticket to be credited must have originally been sold by the MSO Box Office (and not ACM, etc.) 
    The MSO Box Office must be contacted at least three hours before the original performance in order to receive a credit.
    A new order with MOS > Exchange must be used when providing a credit.

Credits are fee-free for subscribers. For non-subscribers, there is $15 exchange fee per ticket. This is because customers are still moving between concerts. A credit just extends the time under which they need to book in a new performance. This fee should be automatically added to the order when in the Exchange Mode of Sale, and thus is deducted from the gift card.

Gift Cards are valid for 3 years by law, so customers have 3 years from the time of credit to purchase another performance.

Price Difference

 If the new ticket is less expensive, this price difference will be absorbed during the exchange and no gift card will be issued
For Larger Price Difference: 
    If the difference is more than $25, once exchange fees have been absorbed if applicable, the BO team can check with TL/SUP about returning this amount to a gift card. 
    If the difference is greater than $75, the BO team can automatically return the amount to a gift card. 

#credit #policy #fees #ticket-changes #change #medical #illness #note #sick #gift-card"
Ticket Change,Refunds,"There are two situations where tickets are refundable:
    An event is cancelled, rescheduled or significantly changed, as outlined in the https://liveperformance.com.au/wp-content/uploads/2020/11/LPA-Ticketing-Code-Industry-Code-8th-edition-FINAL.pdf
    The ticket has been purchased within 24 hours of the customer contacting us, as per our Change of Mind policy.

If customers are now no longer able to attend a performance, we can offer an exchange (with fees as applicable), that they pass the tickets on to friends and family, or they donate the cost of the tickets as a tax-deductible donation to the MSO. If they are ill and have a medical certificate, they may receive a credit. 

In rare extenuating circumstances, we may offer a refund or refund to gift card as a gesture of goodwill. In these instances please do not promise a refund, but let the customer know we will escalate their request, CSI, ask for the details in writing (via email) and let a supervisor know.

What if they paid using a Gift Certificate? 
They can only be refunded to another gift certificate. If they paid any additional amount using a credit card, that amount can be refunded to their card. Please contact the customer to check if they wanted a GC for the whole amount rather than a partial refund/partial gift certificate.

#change-of-mind #cancelled #refund #gift #card #certificate"
Ticket Change,Ticket Resale (Tixel),"It is against our ticketing terms and conditions for customers to resell their tickets. 
We don’t suggest, encourage or endorse Tixel or any other platform to customers. 

Our terms and conditions state: 
No ticket sold through either the MSO or any authorised sellers is eligible for re-sale other than where explicitly approved by the MSO. 

You can find the ticket change email template on Asana https://app.asana.com/0/1206369590338123/1206500762435104/f 

#resale #resell #third-party #tixel "
Payments,Instalment Plans,"Subscribers who purchase a subscription with us during the subscription period are eligible to pay via instalment plan. 

Important - please make sure you are in MOS: Subscriber and not Subscriber (Web)

Instalment plans allow customers to pay for their subscription over four payments, deducted on the first Friday of every month. At the time of booking, the customer pays: 

    Any fees ($10 instalment fee, plus transaction and postage fees if applicable)
    Contributions

The remaining ticket value is split into 4, with the first payment being deducted overnight following the completion of the transaction.
The remaining 3x payments are deducted over the following 3x months. 

In total, they’ll have 5x transactions:
    Fees – Paid today (manually)
    Payment #1 – Deducted automatically overnight
    Payment #2 – Deducted in 1 month
    Payment #3 – Deducted in 2 months
    Payment #4 – Deducted in 3 months

NEW! Use the nifty https://melbourneso-my.sharepoint.com/:x:/g/personal/donaldsonr_mso_com_au/EbD3VCS7cDVPklhaDI0q6OAB9mpYof5s56q3GwZUS756pQ?e=udbQ0a!
It'll give you the dates of each payment and tell you if there's a 1 month grace period.

All funds must be paid before a customer's first performance of the year.

We have a grace period of 1 week for instalment payments. If a customer pays for their subscription via instalment payment, and the first Friday of the month is within 1 week of this time, their second payment will be deducted the following month. 

NEW! From 2025, $10 delayed payment fee will be applied to failed instalments - encourage customers to pay on time!

#instalment #payment-plan #split-payment "
Payments,Instalment Plans - Payment Errors/Failures,"Installment plan payments are automatically deducted on the 1st Friday of each month of their plan.

Errors can occur for various reasons, such as 
    Card has expired or cancelled due to customer issues
    The transaction was declined, likely due to credit limit, daily payment limit has been reached, or the funds are not available on the card

Please action as follows to resolve any installment plan payment issues:
    Nicole will provide a report after the payments are processed on the Friday each month, listing any errors.
    Customers are to be contacted to be made aware of the issue and to follow up resolving this and taking payment. Asana tickets to be made for each one by TL.
    Please do not close the Asana ticket, until the payment is taken, the date should be amended to the following Thursday and the action/contact note updated on the ticket and also in CSI.

First Contact - Advise of payment error (and issue if known eg: CC expired), phone and email as applicable. Expected to correct by the following Thursday to avoid $10 late fee

Second Contact - To be completed by the following Friday, $10 late fee to be added from that Friday if no response. Phone and email customer, advising of second attempt to contact, $10 fee will now be added. Expected to correct the payment error by the following Thursday, to avoid cancellation of the Subscription.

Third Contact - To be completed by the following Friday. If no response to phone call or emails sent, confirm with Alison/Shannon and subscription will be cancelled - with money refund, less fees (including $10 late fee).

NOTE: Changes to installment payment dates can be made if individual circumstances have prevented the payment this month - but only for the one that has failed to process, the next existing scheduled dates remain the same. If you change a payment date, please advise Nicole so she is aware of this and payment can be processed and checked is ok.

#instalment #payment-plan #split-payment #payment-error #failed #late-payment #fees #payment-error"
Payments,Donations/ Contributions,"The process for adding donations in Tessi will differ depending upon the amount donated.

    Donations $99.99 and below can be processed through the contributions tab (out of date)
    Donations $100 and above can be processed through On Account Donations (out of date)

    All Donations $499 and below should be processed through the Contributions tab (up to date)

Donations to the MSO above $2 are tax-deductible. Donations $500 and above make a customer a Patron with us, allowing them special perks and benefits. If taking a donation of $500 or more, and the customer doesn't currently have a Patron attribute, we can let the customer know, and suggest we connect them to Philanthropy. 

In the rare scenario that a Philanthropy member isn't around, and a customer wants to donate over $500, please process as follows

    Donations $500 and above as in the Memberships tab of an order
        Fund: General Support
        Mode: Amount First
        Amount: $xxx
        Please let a Team Leader know and immediately email Philanthropy@mso.com.au

Receipts will be sent by Philanthropy. If anyone has a specific request about receipts, please email Philanthropy with the subscriber’s name and customer number (Philanthropy doesn't use order numbers, so always go by customer number) 

If the customer makes a donation via the website, and contacts us as they didn't intend to make the donation, we can refund the donation to them. 

[Here's also instructions with pictures in our https://melbourneso.sharepoint.com/:w:/s/MarketingSales2/EXJNXSo_KglGguu3qEy7N8QBgJXzkE2wA3tkb97zynFiQA?e=spqrhC]

#philanthropy #donations #donate #patron #contribution"
Payments,Refund to Cancelled Card (ARN),"It's always best to confirm the validity of the card when issuing a refund. But sometimes funds get caught in limbo if a card account has been closed or a card cancelled (scams/fraud/etc.). In these situations, the funds don't always bounce back to us, and we need to use an Acquirer Reference Number (ARN) to help customer located their refund.

An ARN is a unique number assigned to a credit card transaction as it moves through the payment flow. It can be used by banks to help trace a refund if it appears to be missing. 

Customers will need to give the ARN we provide to their cancelled card’s issuing bank. 

----------------------------------------

ATTENDANT TO ACTION:
    If already contacting the customer, let them know that we'll issue them an ARN* which they can provide to their bank in order to track down the refund.
    CSI the exchange and refund under Payments > Refunds > Approved.
    Notify TL/Supervisor and move any related correspondence to FOR SUPERVISOR (see TL/Supervisor Instructions below)
    Once ARN is available, email it to the customer with the template below. 
    CSI that the ARN has been provided to the customer and close the CSI.

----------------------------------------

TL/SUPERVISOR/MANAGER TO ACTION: 
    Add order details to https://melbourneso.sharepoint.com/:x:/s/MarketingSales2/EdmhU8psYwlBuHdxeAzisaYBxWaPXB9-deoqqrjrWTtskQ?e=vRugE7
    Email ST noting request has been added to spreadsheet
    Update CSI:
            ""Sent ARN request to ST via https://melbourneso.sharepoint.com/:x:/s/MarketingSales2/EdmhU8psYwlBuHdxeAzisaYBxWaPXB9-deoqqrjrWTtskQ?e=vRugE7""
            Once ARN is received - add task to Customer to Contact in Asana for Attendants to follow-up

#arn #cancelled #expired #credit-card #refund #process"
Payments,Instalment Payment Date Calculator,"https://melbourneso-my.sharepoint.com/:x:/g/personal/donaldsonr_mso_com_au/EbD3VCS7cDVPklhaDI0q6OAB9mpYof5s56q3GwZUS756pQ?e=udbQ0a

It calculates the payment dates for you, and will automatically tell you if there's an included 1-month grace period.

#instalment #payment-plan #split-payment #tracker #calculate"
Payments,Refund by Bank Transfer,"This should only be used when we cannot refund to a credit/debit card. If we have processed a refund to a cancelled card, please refer to https://app.asana.com/0/1206369590338123/1206549917480439/f procedure first.

----------------------------------------

Before we can process a Refund by Bank Transfer, we need to have the following information:
    Bank Name
    Bank Branch
    BSB Number
    Account Number
    Account Name
    Email address for remittances.

----------------------------------------

    Notify TL/Supervisor and ensure all email records are in FOR SUPERVISOR/MANAGER folder.
    Once customer provide bank details, complete the https://melbourneso.sharepoint.com/:w:/s/MarketingSales2/EVgGUB0o3AxGiMITeAMrBOEBtvkFtth6HMtwMquRLriUTg?e=qhSB9t Template. 
        Download the form and save a copy ""[Customer number] - [Customer name]""
        Make sure that the details in the form match the info given by the customer. 
    Email to boxoffice@mso.com.au with the following information:  
        Attachments:
            Refund request form 
            Email from customer with their bank details*
        Email Body:
            *If bank details were taken over the phone, please note here. 
            Include any other details worth noting. 
    Place email in FOR SUPERVISOR/MANAGER folder. Inform a TL/Supervisor and/or Manager once you’ve done this. 
    CSI (PAYMENTS > Refunds > Refund by Bank Transfer) on the customer’s account with the following information. 
        [Date] [Initials] 16/08/21 MA
        [Order Number]
         Amount refunding: $XXX.XX 
        Refund method: Bank Transfer/Cheque 
        Sent refund request to Managers: [Date] [Initials]
        Reason for refund:

----------------------------------------

TL/SUPERVISOR/MANAGER TO ACTION: 
Once refund by Bank Transfer/Cheque is received, Complete following:
    Input refund request in https://melbourneso.sharepoint.com/:x:/s/MarketingSales2/EZ6kDavyNMtIuJHPtX6QqlUB6tVpUnEJQe5-wRSiXS-QcA?e=P0uTL0 
    Email Finance noting request has been added to spreadsheet
    Update CSI:
            ""Sent refund request to Finance via https://melbourneso.sharepoint.com/:x:/s/MarketingSales2/EZ6kDavyNMtIuJHPtX6QqlUB6tVpUnEJQe5-wRSiXS-QcA?e=P0uTL0""
    Check Customer Account, if there’s a valid order with funds for the refund on Tessi, place the money on account to avoid any accidental bulk refunds. 
    Done! 

#refund #bank-transfer #finance #process"
Payments,Cheque Payment,"    Once the order details are finalised, we can pay for an order using a cheque payment. 
    Payment Method: Cheque – Ticketing 
    Cheque – T Number, insert cheque number 
        example below with T Number circled in red 
    Make sure Cheque Account Name matches exactly with Tessi Payment Name
    Write your initials and order number on the back of the cheque 
    Place cheque in Customer Experience Manager's drawer for banking 

https://app.asana.com/app/asana/-/get_asset?asset_id=1208585632894156


#cheque #payment #payment-option #payment-method"
Gift Card,MSO Gift Card,"MSO Gift Cards are valid for 3 years, for any MSO ticketed performances, and available tohttps://www.mso.com.au/whats-on/mso-gift-cardsor over the phone with us.

Physical Gift Cards:
    Can only be purchased via Box Office
    Must have the postage fee added to the order if posted
    Are found in the drawer beside BOCA/MSOWS13

Digital Gift Cards:
    Can be purchased via website or Box Office
    We can provide the name of the recipient and a note to them under the 'Gift Cert Recipient Name' and 'Notes' fields in the payment window respectively
    Are sent automatically via website, or through us via Print Order > Acknowledgement > Gift Certificate 

#gift-card #gift-cert #gift #gift-voucher #digital"
Gift Card,FOTMSO Gift Card,"Friends of the MSO Gift Cards are valid for 3 years, specifically to gift a FOTMSO membership, and can behttps://www.mso.com.au/friends-of-the-mso (below membership list) or over the phone with us.

FOTMSO Gift Cards allow customers to gift a FOTMSO membership without needing to provide the recipients details, and/or have the membership switched over after the gift is given. Recipients can use the Gift Card to process their own membership instead. 

FOTMSO gift cards are similar to regular gift cards, except they are sent via Print Order > Acknowledgement > Friends of the MSO Gift Voucher

#fotmso-gift-card #fotmso-gift #membership #gift-voucher"
Gift Card,Refund to Gift Card,"Refund to a Gift Card is an option for some funds, for some customers. The conditions under which someone can receive a refund of funds to a gift card are: 

    The customer has received a credit
    There are exceptional circumstances, and this has been authorised by a manager.

More information on exchange and credit procedures can be found on the relevant sections. When refunding to gift card:
    Return ticket (and fees if applicable) within original order
    Place returned funds ""On account - ticketing""
    Create new order and add Gift Certificate from Moneybags
    Place the customers name in the 'Gift Cert Recipient Name' field in the payment window.
    Update Order notes with ""date, initials: Return to GC from [insert concert]""
    Send Acknowledgement > Refund to Gift Card.
    CSI appropriately with GC order number in summary ""...MC issued GC under order: #2415678""

The process for a refund to a gift card is the same as a regular gift card, except they are sent via Print Order > Acknowledgement > Refund to Gift Card.

#credit #policy #fees #ticket-changes #change #medical #illness #note #sick #gift-card #refund 

"
Benefits and Discounts,Industry Offers - MSOSHARE,"MSOSHARE - Reciprocal Offer
As part of our reciprocal agreement with industry friends, subscribers from the following organisations get 10% off stand/conc tickets at any price reserve
    Opera Australia
    Adelaide Symphony Orchestra
    Sydney Symphony Orchestra
    Australian Chamber Orchestra
    Western Australian Symphony Orchestra
    Tasmanian Symphony Orchestra

Eligible concerts
    All core concerts (incl. Geelong, excl. other regional venues)

Promo code: MSOSHARE
Source code: 50749
MOS: Single Tickets
Price type: STAND/CONC
Discount applies automatically after seating

#msoshare #industry #orchestra #discount #offers"
Benefits and Discounts,RACV Members,"MSORACV - RACV Member Discount (Updated)
Sent to members of RACV as part of our partnership agreement
10% off core concerts, A - C reserve
Eligible concerts https://www.mso.com.au/behind-the-music/partners/racv-member-discount
Promo code: MSORACV
Source code: 39700
Price type: STAND/CONC
    Discount applies automatically after seating in A - C reserve.
    Promo code will not be advertised to RACV members. Instead, RACV's website will redirect to an RACV landing page on our website with the promo code applied. Will provide link once available
    Eligible 2025 concerts will be added at single tickets on sale

New Additional Offer: Family Discount
    10% off child tickets when purchasing with an adult ticket
    No min/max limits on number of adult & child tickets
    Discount applies automatically after seating both an adult & child ticket

#RACV #racv-member #discount #offers #promo #promotion #partner "
Benefits and Discounts,Emirates,"Emirates offers a discount of up to $500 to current subscribers and patrons, and their companions, when booking and travelling together. Eligible for online bookings only, and the full discount depends on the routes and destinations selected.

Code when booking online is: MEL1906
More information, and a link that automatically adds the code, is available https://www.mso.com.au/behind-the-music/partners/principal-partner-emirates

#discount #offers #promo #promotion #partner #emirates "
Benefits and Discounts,Partner Discounts,"MSO subscribers and members can claim the below discounts. Terms and conditions may apply, please contact the organisation below for further details. 

PARTNERS - GENERAL

Emirates Discount
Emirates offers MSO supporters an exclusive discount of up to $500* on Economy and Business Class fares when booking online.
Promo Code: MEL1906 | Visit: https://www.mso.com.au/behind-the-music/partners/principal-partner-emirates
*Valid for bookings made on or before 15 January 2026

TarraWarra Estate discount
Promo Code: MSO10 (online) | Show ticket with Subscriber status at Celllar Door
Internationally recognised as the place to visit in the Yarra Valley, MSO subscribers can access a year round 10% special discount on the entire range of TarraWarra Estates beautiful wines. Enter MSO10 as the coupon code if purchasing online, or show your MSO subscriber card at the Cellar Door.

ARTS VENUES

Arts Centre Melbourne
15% discount offered at Café Vic, The Barre, Protagonist, and Hamer Hall foyer bars. Discount not available at the foyer bars in the Theatres Building. Show your subscriber ticket or membership card when ordering.

Opera Australia
MSO subscribers receive an 8% discount* on tickets to Opera Australia’s 2025 opera performances in the Sydney Opera House and Melbourne.
Promo Code: MSO25 | Call: 02 9318 8200 | Visit: https://www.opera.org.au/
*Valid until 1 October 2025. Limit of 4 tickets per production per customer. Not to be used in conjunction with any other offer. Valid only for opera performances. Excludes musical performances and events on New Year’s Eve. Booking fee may apply.

Sydney Symphony Orchestra
MSO subscribers receive 10% off Sydney Symphony Orchestra purchases on A, B and C reserve tickets. 
Promo Code: MSO24 or 25MSO | Call: 02 8215 4600 | Visit: https://www.sydneysymphony.com/
Valid at Sydney Symphony Box Office only. Terms and conditions apply. Cannot be used in conjunction with any other offer. Special Events, Concessions, Subscription Packages, Sydney Symphony Presents performances excluded. Booking fee may apply. 

West Australian Symphony Orchestra
Receive a 10% discount on full-price A or B reserve tickets to concerts in WASO's 2025 MACA Symphonic Series and Matinee Series.
Promo Code: ARTSWA25 | Call: (08) 9326 0000 | Visit: https://www.waso.com.au
Valid for up to 2 tickets per concert. Not valid with any other offers.

Queensland Symphony Orchestra
MSO subscribers receive 10% off Adult and Concession A or B Reserve single tickets to QSO's 2025 concerts. 
Promo Code: MSOSHARE | Call: (07) 3833 5044 | Visit: https://www.qso.com.au
Excludes Education, Family concerts and BCEC movie concerts. Terms and Conditions apply. Transaction fees may apply. Subject to availability.

Australian Chamber Orchestra
Enjoy 10%* off adult single tickets to ACO's 2025 National Concert Season performances. 
Promo Code: ARTSPARTNER | Visit: https://www.aco.com.au/
*Conditions apply. Transaction fee of $8.50 applies. Subject to availability. No further discount for Student/Under 35 tickets. Not in conjunction with any other offer.

#discount #offers #promo #benefits #subscriber #promotion #partner #industry #orchestra #opera-australia #SSO #WASO #ACO #QSO #tarrawarra #Emirates"
Benefits and Discounts,Mob Tix,"Mob Tix are a special allocation of tickets that allows First Nations peoples both within and outside Australia access to a discounted rate to certain concerts.

Aboriginal and Torres Strait Islander people from Australia are eligible, as well as Māori, Pasifika and First Nations people from other countries.

#mobtix"
Customer Service / Interactions,Calendly,"What is Calendly?
Calendly is the service we use to book outbound customer calls. 

This is used during subscription for Outbound Renewal plans, but also for customer followup through out the year when we need to ensure someone is called back at an agreed time.

You can complete the Calendly booking request on behalf of a customer or send the link to the customer for them to book. 

https://calendly.com/msoboxoffice/"
Customer Service / Interactions,First Nations Feedback Response,"To equip Box Office attendants with responses to feedback regarding MSO Voice to Parliament support, First Nations programming, Acknowledgement of Country and NAIDOC week celebrations. 

https://melbourneso.sharepoint.com/:w:/s/MarketingSales2/EUiNy9usf9tFhCG9dHOrFfABnLi6ORAOV7errVHB3h2wig?e=gXAIPVoint.com/:w:/g/personal/camms_mso_com_au/EddeouvSVo9Cr2B6YWdBc8kBeZNryzhZ-xfP7azXt6Xpeg?e=42aOeQ

https://melbourneso-my.sharepoint.com/:w:/g/personal/camms_mso_com_au/EYCtDfOnMFdAipjK3YHABG0BfieG2drCKOzqqDuxJce7EA?e=uQpaRT"
Customer Service / Interactions,CSI Formatting Rules (Access CSIs),"Access CSIs are formatted differently to normal CSIs - they have 1 additional line at the start that goes to ACM. The Front of House team needs to be able to quickly identify the seats and action required.

You'll also regularly use the below terms for wheelchair seats:
SEAT OUT - means the customer is attending in a wheelchair and ACM need to take the seat out
SEAT IN - means customer with limited mobility is attending, but ACM needs to leave the seat in


ACM FOH has requested that format as follows:

SEATS, ACTION - Details

They need the Access CSI to start:
    Short and Concise
    All on one line
    No Context, just core details
i.e
Circle H17-18, SEAT IN  - Customer attending on crutches + no stairs



and underneath, we do a regular CSI, formatted as follows

Date, Initials
Order Number

Summary 
---------
Email 1  
---------
Email 2


An example of Access CSI can be found below: 

SEAT LOCATION ACTION  Stalls A60-61, SEAT OUT - Customer attending in Wheelchair

Date, Initials                      12/05/24, KC
Order Number                   Order 12345

Summary                            Customer John has Parkinson's and will be attending in a wheelchair
---------                               ---------
Email 1                                Hi, you indicated you had access needs for this event...
---------                               ---------
Email 2                                Hi, yes my recent diagnosis means I'll be attending in a wheelchair....


"
Customer Service / Interactions,CSI Formatting Rules (Regular CSIs),"When writing CSI's, it's important to follow specific formatting rules in order to include important information and make it easy for the next reader to understand. 

For Regular CSI's, please format as:

Date, Initials
Order Number

Summary 
---------
Email 1  
---------
Email 2


An example can be found below: 

Date, Initials                      12/05/24, JB
Order Number                   Order 12345

Summary                            Customer left their hat at Jams 07/05 after 11am session...
---------                               ---------
Email 1                                Hi Box Office, I think I lost my hat on the weekend…
---------                               ---------
Email 2                                Hi Geoff, your hat was not handed in to lost property…



If you need to update an existing CSI, please format as:

Date, Initials                      12/05/24, JB
Order Number                   Order 12345

Summary                            Customer left their hat at Jams 07/05 after 11am session...
Summary Update             UPDATE:
                                           13/05 AB - They emailed back saying the hat was in the car...
---------                               ---------
Email 1                                Hi Box Office, I think I lost my hat on the weekend…
---------                               ---------
Email 2                                Hi Geoff, your hat was not handed in to lost property…
---------                              ---------
Email 3                                Hi Box Office, I’m so sorry! It was in the car all along..."
